H0_KCI_p,H0_KCI_rej,H0_KCI_time,H1_KCI_p,H1_KCI_rej,H1_KCI_time
0.27,false,0.020601849,0.015,true,0.02289842
0.27,false,0.019753016,0.09,false,0.022939248
0.51,false,0.020452774,0.115,false,0.022873937
0.51,false,0.019062007,0.01,true,0.02315064
0.455,false,0.021829308,0.045,true,0.022742602
0.12,false,0.020381322,0.065,false,0.029834145
0.505,false,0.024877061,0.005,true,0.021766151
0.455,false,0.019346012,0.035,true,0.021444989
0.445,false,0.020324068,0.01,true,0.022029948
0.43,false,0.020684059,0.01,true,0.021885468
0.1,false,0.020059174,0.035,true,0.022463443
0.125,false,0.020160536,0.025,true,0.023396728
0.36,false,0.020319852,0.02,true,0.021918282
0.3,false,0.020192087,0.105,false,0.021863074
0.135,false,0.020776413,0.02,true,0.023045727
0.16,false,0.019952682,0.175,false,0.022320978
0.515,false,0.020220192,0.0,true,0.022292097
0.055,false,0.0197078,0.01,true,0.022910539
0.255,false,0.019297666,0.02,true,0.021916862
0.275,false,0.019770297,0.0,true,0.022262775
0.2,false,0.020216345,0.085,false,0.022492886
0.025,true,0.020403809,0.065,false,0.023001048
0.04,true,0.020128925,0.01,true,0.021710137
0.205,false,0.019406931,0.0,true,0.021895705
0.21,false,0.02031056,0.01,true,0.022965861
0.535,false,0.021880199,0.015,true,0.023404104
0.145,false,0.020985876,0.005,true,0.022556755
0.505,false,0.021004231,0.015,true,0.022313108
0.085,false,0.020278027,0.07,false,0.021459648
0.47,false,0.021521209,0.02,true,0.022973593
0.375,false,0.019794771,0.0,true,0.028029418
0.81,false,0.025705071,0.01,true,0.022847453
0.19,false,0.020339342,0.005,true,0.021576388
0.325,false,0.020579559,0.025,true,0.022182381
0.495,false,0.019843372,0.2,false,0.022215209
0.255,false,0.020540135,0.015,true,0.022501679
0.285,false,0.020627426,0.015,true,0.022785942
0.725,false,0.020111794,0.01,true,0.023176708
0.13,false,0.020502808,0.05,true,0.022108317
0.64,false,0.020195613,0.005,true,0.022278619
0.155,false,0.020471284,0.03,true,0.022542811
0.35,false,0.01972153,0.025,true,0.022438047
0.49,false,0.02160933,0.03,true,0.021963541
0.28,false,0.020253532,0.0,true,0.023017682
0.66,false,0.019991555,0.01,true,0.02177138
0.365,false,0.020922522,0.075,false,0.022982463
0.245,false,0.020811968,0.045,true,0.021942481
0.355,false,0.019351468,0.09,false,0.022861099
0.355,false,0.019775604,0.28,false,0.022452869
